127.0.0.1 - - [22/Apr/2019:10:30:13 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Apr/2019:10:30:15 +0900] "GET /setp01_HTMLCS/index.html HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [22/Apr/2019:10:30:15 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Apr/2019:11:39:02 +0900] "GET /setp01_HTMLCS/HTML/ex01_pre_xmp.html HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [22/Apr/2019:11:39:02 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Apr/2019:11:46:00 +0900] "GET /setp01_HTMLCS/HTML/ex02_aTag.html HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [22/Apr/2019:11:46:03 +0900] "GET /setp01_HTMLCS/HTML/http_//www.daum.net HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [22/Apr/2019:11:46:11 +0900] "GET /setp01_HTMLCS/HTML/http_//www.daum.net HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [22/Apr/2019:11:46:32 +0900] "GET /setp01_HTMLCS/HTML/ex02_aTag.html HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [22/Apr/2019:11:49:55 +0900] "GET /setp01_HTMLCS/HTML/ex02_aTag.html HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:06:32 +0900] "GET /setp01_HTMLCS/HTML/ex02_aTag.html HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:06:39 +0900] "GET /setp01_HTMLCS/HTML/ex02_aTag.html HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:10:41 +0900] "GET /setp01_HTMLCS/HTML/ex02_aTag.html HTTP/1.1" 200 2181
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:12:10 +0900] "GET /setp01_HTMLCS/HTML/ex02_aTag.html HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:19:30 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:20:18 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:20:52 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:21:19 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:21:41 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:22:10 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:26:47 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:26:54 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:26:55 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:26:57 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:27:03 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:29:15 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:31:41 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:32:04 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:32:22 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:34:30 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:34:46 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 764
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:35:09 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:36:24 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:36:31 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:38:09 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:39:04 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:41:44 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [22/Apr/2019:13:42:17 +0900] "GET /setp01_HTMLCS/HTML/ex03_tableTag.html HTTP/1.1" 200 1566
